Pig.ID,Treatment,DPI,DPV,Exposed,wvELISA,IFA,VNResult
7316,NV/NC,-5,38,NEG,0.008,0,0
7318,NV/NC,-5,38,NEG,0.028,0,0
7320,NV/NC,-5,38,NEG,0.093,0,0
7323,NV/NC,-5,38,NEG,0.057,0,0
7328,NV/NC,-5,38,NEG,0.012,0,0
7330,NV/NC,-5,38,NEG,0.016,0,0
7336,NV/NC,-5,38,NEG,-0.008,0,0
7344,NV/NC,-5,38,NEG,-0.002,0,0
7363,NV/NC,-5,38,NEG,0.013,0,0
7371,NV/NC,-5,38,NEG,0.023,0,0
7305,RP/C,-5,38,POS,2.563,12.32192809,11.32192809
7315,RP/C,-5,38,POS,1.291,9.321928095,9.321928095
7327,RP/C,-5,38,POS,1.486,12.32192809,11.32192809
7338,RP/C,-5,38,POS,1.635,10.32192809,
7339,RP/C,-5,38,POS,1.616,12.32192809,11.32192809
7346,RP/C,-5,38,POS,1.209,11.32192809,10.32192809
7348,RP/C,-5,38,POS,1.586,9.321928095,9.321928095
7351,RP/C,-5,38,POS,1.362,12.32192809,10.32192809
7367,RP/C,-5,38,POS,1.229,7.321928095,8.321928095
7378,RP/C,-5,38,POS,2.642,9.321928095,11.32192809
7304,RPAdj/C,-5,38,POS,2.397,13.32192809,12.32192809
7310,RPAdj/C,-5,38,POS,2.955,14.32192809,13.32192809
7326,RPAdj/C,-5,38,POS,2.836,14.32192809,13.32192809
7333,RPAdj/C,-5,38,POS,2.677,14.32192809,13.32192809
7340,RPAdj/C,-5,38,POS,2.791,14.32192809,13.32192809
7349,RPAdj/C,-5,38,POS,2.429,13.32192809,12.32192809
7361,RPAdj/C,-5,38,POS,2.768,14.32192809,13.32192809
7366,RPAdj/C,-5,38,POS,2.476,13.32192809,14.32192809
7377,RPAdj/C,-5,38,POS,3.038,14.32192809,16.32192809
7379,RPAdj/C,-5,38,POS,3.131,14.32192809,15.32192809
7314,LE/C,0,43,POS,1.771,8.321928095,5.321928095
7324,LE/C,0,43,POS,0.434,6.321928095,3.321928095
7325,LE/C,0,43,POS,0.823,7.321928095,4.321928095
7334,LE/C,0,43,POS,1.03,6.321928095,3.321928095
7350,LE/C,0,43,POS,0.39,7.321928095,0
7352,LE/C,0,43,POS,0.926,6.321928095,3.321928095
7358,LE/C,0,43,POS,0.384,0,3.321928095
7359,LE/C,0,43,POS,0.533,0,3.321928095
7362,LE/C,0,43,POS,0.551,5.321928095,4.321928095
7365,LE/C,0,43,POS,0.85,0,3.321928095
7313,NV/C,0,43,NEG,-0.009,0,0
7337,NV/C,0,43,NEG,-0.006,0,0
7341,NV/C,0,43,NEG,-0.014,4.321928095,0
7345,NV/C,0,43,NEG,-0.014,0,0
7355,NV/C,0,43,NEG,-0.004,0,0
7357,NV/C,0,43,NEG,0.1,0,0
7360,NV/C,0,43,NEG,0.003,0,0
7368,NV/C,0,43,NEG,-0.019,0,0
7372,NV/C,0,43,NEG,0.021,0,0
7376,NV/C,0,43,NEG,-0.017,0,0
7316,NV/NC,0,43,NEG,0.021,0,0
7318,NV/NC,0,43,NEG,0.067,0,0
7320,NV/NC,0,43,NEG,0.039,0,0
7323,NV/NC,0,43,NEG,-0.008,5.321928095,0
7328,NV/NC,0,43,NEG,-0.015,0,0
7330,NV/NC,0,43,NEG,-0.006,0,0
7336,NV/NC,0,43,NEG,0.08,0,0
7344,NV/NC,0,43,NEG,0.005,0,0
7363,NV/NC,0,43,NEG,-0.026,0,0
7371,NV/NC,0,43,NEG,-0.005,0,0
7305,RP/C,0,43,POS,2.299,11.32192809,11.32192809
7315,RP/C,0,43,POS,0.854,10.32192809,10.32192809
7327,RP/C,0,43,POS,0.76,11.32192809,11.32192809
7338,RP/C,0,43,POS,0.976,10.32192809,10.32192809
7339,RP/C,0,43,POS,1.093,11.32192809,11.32192809
7346,RP/C,0,43,POS,0.549,10.32192809,9.321928095
7348,RP/C,0,43,POS,0.689,11.32192809,9.321928095
7351,RP/C,0,43,POS,0.7,11.32192809,11.32192809
7367,RP/C,0,43,POS,0.475,8.321928095,8.321928095
7378,RP/C,0,43,POS,1.73,11.32192809,12.32192809
7304,RPAdj/C,0,43,POS,3.14,12.32192809,11.32192809
7310,RPAdj/C,0,43,POS,3.515,13.32192809,13.32192809
7326,RPAdj/C,0,43,POS,3.515,12.32192809,14.32192809
7333,RPAdj/C,0,43,POS,3.281,13.32192809,13.32192809
7340,RPAdj/C,0,43,POS,3.123,14.32192809,14.32192809
7349,RPAdj/C,0,43,POS,2.352,12.32192809,12.32192809
7361,RPAdj/C,0,43,POS,2.723,14.32192809,12.32192809
7366,RPAdj/C,0,43,POS,2.627,12.32192809,12.32192809
7377,RPAdj/C,0,43,POS,3.515,13.32192809,14.32192809
7379,RPAdj/C,0,43,POS,3.371,14.32192809,12.32192809
7314,LE/C,5,48,POS,1.616,8.321928095,4.321928095
7324,LE/C,5,48,POS,0.315,6.321928095,3.321928095
7325,LE/C,5,48,POS,0.738,7.321928095,5.321928095
7334,LE/C,5,48,POS,1.005,6.321928095,3.321928095
7350,LE/C,5,48,POS,0.604,7.321928095,0
7352,LE/C,5,48,POS,0.865,6.321928095,0
7358,LE/C,5,48,POS,0.384,6.321928095,4.321928095
7359,LE/C,5,48,POS,0.55,6.321928095,0
7362,LE/C,5,48,POS,0.554,7.321928095,3.321928095
7365,LE/C,5,48,POS,0.97,7.321928095,4.321928095
7313,NV/C,5,48,NEG,-0.013,0,0
7337,NV/C,5,48,NEG,0,0,0
7341,NV/C,5,48,NEG,-0.012,0,0
7345,NV/C,5,48,NEG,0.027,0,0
7355,NV/C,5,48,NEG,0.114,0,0
7357,NV/C,5,48,NEG,0.004,0,0
7360,NV/C,5,48,NEG,0.006,0,0
7368,NV/C,5,48,NEG,-0.02,0,0
7372,NV/C,5,48,NEG,-0.022,0,0
7376,NV/C,5,48,NEG,-0.011,0,0
7316,NV/NC,5,48,NEG,0.005,0,0
7318,NV/NC,5,48,NEG,-0.01,0,0
7320,NV/NC,5,48,NEG,0.006,0,0
7323,NV/NC,5,48,NEG,0.004,5.321928095,0
7328,NV/NC,5,48,NEG,-0.009,0,0
7330,NV/NC,5,48,NEG,-0.01,0,0
7336,NV/NC,5,48,NEG,0.001,0,0
7344,NV/NC,5,48,NEG,0.005,0,0
7363,NV/NC,5,48,NEG,-0.006,0,0
7371,NV/NC,5,48,NEG,0.002,0,0
7305,RP/C,5,48,POS,1.868,10.32192809,11.32192809
7315,RP/C,5,48,POS,1.007,9.321928095,10.32192809
7327,RP/C,5,48,POS,1.057,10.32192809,11.32192809
7338,RP/C,5,48,POS,0.869,10.32192809,9.321928095
7339,RP/C,5,48,POS,1.239,11.32192809,9.321928095
7346,RP/C,5,48,POS,0.957,10.32192809,10.32192809
7348,RP/C,5,48,POS,0.872,9.321928095,8.321928095
7351,RP/C,5,48,POS,0.637,10.32192809,11.32192809
7367,RP/C,5,48,POS,0.556,8.321928095,10.32192809
7378,RP/C,5,48,POS,1.659,11.32192809,9.321928095
7304,RPAdj/C,5,48,POS,3.124,12.32192809,11.32192809
7310,RPAdj/C,5,48,POS,3.428,12.32192809,12.32192809
7326,RPAdj/C,5,48,POS,3.428,13.32192809,12.32192809
7333,RPAdj/C,5,48,POS,3.204,13.32192809,13.32192809
7340,RPAdj/C,5,48,POS,2.971,14.32192809,12.32192809
7349,RPAdj/C,5,48,POS,2.362,13.32192809,12.32192809
